GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fitness-tracker-service,com.fitnesstracker.exception,GlobalExceptionHandler,66,7,0,0,9,2,4,2,4,2
fitness-tracker-service,com.fitnesstracker.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
fitness-tracker-service,com.fitnesstracker.model,ApiResponse,30,0,0,0,12,0,3,0,3,0
fitness-tracker-service,com.fitnesstracker.model,UserDTO,0,15,0,0,0,6,0,1,0,1
fitness-tracker-service,com.fitnesstracker.controller,UserController,23,0,0,0,2,0,2,0,2,0
fitness-tracker-service,com.fitnesstracker.controller,WorkoutPlanController,56,0,0,0,6,0,5,0,5,0
fitness-tracker-service,com.fitnesstracker.controller,ActivityLogController,56,0,0,0,6,0,5,0,5,0
fitness-tracker-service,com.fitnesstracker.controller,AdminUserController,33,0,0,0,4,0,3,0,3,0
fitness-tracker-service,com.fitnesstracker,FitnessTrackerServiceApplication,5,3,0,0,2,1,1,1,1,1
fitness-tracker-service,com.fitnesstracker.config,SecurityConfig,0,114,0,0,0,16,0,8,0,8
fitness-tracker-service,com.fitnesstracker.config,OpenApiConfig,0,29,0,0,0,4,0,3,0,3
fitness-tracker-service,com.fitnesstracker.service.impl,UserServiceImpl,0,151,1,3,0,35,1,9,0,8
fitness-tracker-service,com.fitnesstracker.service.impl,CustomUserDetailsService,28,0,0,0,2,0,2,0,2,0
fitness-tracker-service,com.fitnesstracker.service.impl,ActivityLogServiceImpl,198,0,10,0,43,0,15,0,10,0
fitness-tracker-service,com.fitnesstracker.service.impl,WorkoutPlanServiceImpl,141,0,6,0,32,0,11,0,8,0
